"average?","true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,
"inst-road-view?","false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,
"travel-time-alpha","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"num-episodes","100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,
"travel-time-beta","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"cap-randomness","120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,,"120",,,
"reward-by","""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,,"""both""",,,
"[reporter]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]","avg-travel-time","avg-occ-dev","mean [length current-route] of drivers","count drivers with [current-node != destination]"
"[final]","1164033.6200164617","71.22500000000002","100.76","44","86837.19422222218","47.254499999999986","46.946666666666665","18","352566.9158683129","67.14691666666666","66.23666666666666","32","1717515.8743045253","72.71983333333336","101.96666666666667","41","415629.40451028856","64.5335","73.19333333333333","30","465828.5111769547","64.20466666666665","75.12333333333333","29","548450.283720164","68.74541666666667","80.38","39","34126.736312757144","45.72925","35.36333333333334","12","50112.69453497938","43.10499999999999","40.836666666666666","16","2990032.109086417","69.59158333333335","154.99666666666667","73","489.53983539094656","17.1375","8.003333333333334","0","389.2912098765431","15.698083333333335","7.85","0","602.2622222222221","15.845749999999995","9.2","1","1880.9259094650222","18.3675","12.583333333333334","2","1204.1740082304514","21.137333333333334","10.69","1","1230.085991769547","17.499916666666667","10.603333333333333","2","316.5139423868313","15.655416666666667","7.223333333333334","0","820.8322304526749","17.552416666666655","9.543333333333333","0","569.7166255144035","18.341833333333337","8.923333333333334","0","309.1074074074078","16.454083333333337","7.31","0","452.0751111111108","11.93883333333333","7.576666666666667","0","238.9209053497944","11.732333333333337","6.69","0","797.2525925925937","11.877583333333336","9.003333333333334","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","7515435.331670782","71.22500000000002","174.55333333333334","300","2153891.484790125","47.61541666666666","119.77333333333333","300","7695126.619144033","67.14691666666666","152.08","300","8537431.498074073","72.71983333333336","162.18","300","4384688.9219259275","64.5335","154.57","300","3832441.359407402","64.20466666666665","141.40666666666667","300","4751336.123127573","68.74541666666667","151.91666666666666","300","2922265.979555558","47.326406926406925","136.21666666666667","300","1410668.030551441","44.200101626016256","101.55","300","1.1069608655028787E7","69.59158333333335","202.74","300","70591.46060905342","20.488461538461536","42.85333333333333","300","86147.05483127573","20.244117647058818","44.13666666666666","300","91846.11792592592","19.805637254901956","45.64666666666667","300","87033.62852674891","21.343410852713177","48.07666666666667","300","95019.34288065849","23.80125","45.95666666666666","300","78546.08237037034","20.517543859649123","42.42","300","74116.83374485589","19.893918918918924","43.43666666666667","300","141872.24161316876","21.033333333333335","46.88666666666666","300","167281.3100082303","20.85065789473684","47.79","300","79417.04842798354","20.389484126984126","45.263333333333335","300","54774.4920329218","18.27222222222222","39.64","300","43652.02625514404","17.94642857142857","38.92333333333333","300","46879.63548971194","19.575","38.696666666666665","300"
"[mean]","1004912.824178788","37.46190316254761","84.68300330033001","26.643564356435643","281854.1080529684","33.59897405559246","59.47353135313534","16.346534653465348","839834.1401483112","37.35895811440244","81.98732673267328","25.633663366336634","1118335.1767537794","37.45623830019471","84.88442244224423","27.643564356435643","895185.0077455894","36.07381167685373","82.89356435643563","26.247524752475247","706208.5442268671","36.661016022756726","78.5280198019802","24.217821782178216","991751.2800011407","37.192621901850366","83.2348184818482","26.346534653465348","298497.5292392943","33.23227052706899","58.58933993399341","15.900990099009901","233548.47523285673","31.476010097096168","56.09003300330033","14.613861386138614","1280324.2323939207","35.05501324724954","82.8371287128713","27.485148514851485","15238.355033207015","18.271836891434187","21.645577557755775","4.0594059405940595","14232.021424601722","17.8292604968125","20.20861386138613","3.792079207920792","14793.83572961741","17.726136701971683","20.49085808580858","3.9702970297029703","17416.412094364994","19.043419120614463","22.72353135313532","4.594059405940594","23298.645061483912","21.21055965716416","25.96590759075908","5.02970297029703","15977.472775292348","18.371180964076803","21.580099009900994","4.485148514851486","13915.831880210244","17.664859833183044","19.53805280528053","3.772277227722772","17808.430855559625","18.57645974139053","22.79594059405941","4.148514851485149","17853.10957128305","19.065306930900995","23.047986798679865","4.257425742574258","15222.663936438079","18.26197775607991","20.808415841584154","3.98019801980198","7686.255321680318","14.921767570628635","15.569273927392741","3.277227722772277","7303.822326528952","14.397128687659764","15.185808580858083","3.128712871287129","7601.7040612802","14.753152872932162","15.576996699669968","3.1782178217821784"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

